1648220260,58069.52,0.001,58.06,1637366400094,false
1648220261,58072.7,0.023,1335.67,1637366400094,false
1648220262,58072.69,0.002,116.14,1637366400129,false
1648220263,58072.68,0.001,58.07,1637366404152,true
1648220264,58072.68,0.001,58.07,1637366404152,true
1648220265,58072.68,0.128,7433.3,1637366404152,true
1648220266,58072.68,0.219,12717.91,1637366404153,true
1648220267,58072.68,0.071,4123.16,1637366404153,true
1648220268,58072.68,0.018,1045.3,1637366404153,true
1648220269,58072.68,0.001,58.07,1637366404153,true
1648220270,58072.68,0.263,15273.11,1637366404153,true
1648220271,58072.68,0.044,2555.19,1637366404153,true
1648220272,58072.68,0.03,1742.18,1637366404153,true
1648220273,58072.68,0.011,638.79,1637366404153,true
1648220274,58072.68,0.167,9698.13,1637366404154,true
1648220275,58072.69,0.002,116.14,1637366404155,false
1648220276,58072.68,0.072,4181.23,1637366404156,true
1648220277,58072.68,0.057,3310.14,1637366404156,true
1648220278,58072.68,0.288,16724.93,1637366404158,true
1648220279,58072.68,0.155,9001.26,1637366404159,true
1648220280,58072.68,0.174,10104.64,1637366404160,true
1648220281,58072.68,0.126,7317.15,1637366404165,true
1648220282,58072.61,0.113,6562.2,1637366404165,true
1648220283,58072.42,0.11,6387.96,1637366404165,true
1648220284,58072.42,0.019,1103.37,1637366404174,true
1648220285,58072.69,0.001,58.07,1637366404178,false
1648220286,58072.69,0.006,348.43,1637366404184,false
1648220287,58072.68,0.116,6736.43,1637366404195,true
1648220288,58072.68,0.116,6736.43,1637366404195,true
1648220289,58072.69,0.004,232.29,1637366404210,false
1648220290,58072.68,0.065,3774.72,1637366404215,true
1648220291,58072.68,0.144,8362.46,1637366404215,true
1648220292,58072.68,0.001,58.07,1637366404216,true
1648220293,58072.68,0.014,813.01,1637366404218,true
1648220294,58072.69,0.002,116.14,1637366404222,false
1648220295,58072.69,0.001,58.07,1637366404223,false
1648220296,58072.69,0.01,580.72,1637366404225,false
1648220297,58072.69,0.001,58.07,1637366404226,false
1648220298,58072.69,0.001,58.07,1637366404227,false
1648220299,58072.68,0.01,580.72,1637366404229,true
1648220300,58072.69,0.006,348.43,1637366404234,false
1648220301,58072.69,0.219,12717.91,1637366404236,false
1648220302,58072.69,0.099,5749.19,1637366404236,false
1648220303,58072.68,0.122,7084.86,1637366404250,true
1648220304,58072.69,0.001,58.07,1637366404261,false
1648220305,58072.68,0.005,290.36,1637366404263,true
1648220306,58072.69,0.11,6387.99,1637366404268,false
1648220307,58072.69,0.05,2903.63,1637366404270,false
1648220308,58072.69,0.008,464.58,1637366404278,false
1648220309,58072.69,0.012,696.87,1637366404279,false
1648220310,58072.68,0.002,116.14,1637366404283,true
1648220311,58072.69,0.1,5807.26,1637366404284,false
1648220312,58072.68,0.032,1858.32,1637366404290,true
1648220313,58072.69,0.047,2729.41,1637366404290,false
1648220314,58072.68,0.05,2903.63,1637366404292,true
1648220315,58072.68,0.045,2613.27,1637366404293,true
1648220316,58072.68,0.071,4123.16,1637366404293,true
1648220317,58072.68,0.006,348.43,1637366404293,true
1648220318,58072.68,0.312,18118.67,1637366404293,true
1648220319,58072.68,0.312,18118.67,1637366404293,true
1648220320,58072.68,0.031,1800.25,1637366404294,true
1648220321,58072.68,0.174,10104.64,1637366404295,true
1648220322,58072.69,0.005,290.36,1637366404297,false
1648220323,58072.69,0.02,1161.45,1637366404301,false
1648220324,58072.68,0.012,696.87,1637366404302,true
1648220325,58072.68,0.095,5516.9,1637366404305,true
1648220326,58072.68,0.312,18118.67,1637366404305,true
1648220327,58072.68,0.102,5923.41,1637366404305,true
1648220328,58072.68,0.044,2555.19,1637366404305,true
1648220329,58072.69,0.127,7375.23,1637366404308,false
1648220330,58072.69,0.873,50697.45,1637366404308,false
1648220331,58072.68,0.006,348.43,1637366404320,true
1648220332,58072.68,0.002,116.14,1637366404321,true
1648220333,58072.68,0.002,116.14,1637366404325,true
1648220334,58072.69,0.033,1916.39,1637366404335,false
1648220335,58072.69,0.001,58.07,1637366404336,false
1648220336,58072.68,0.015,871.09,1637366404361,true
1648220337,58072.68,0.01,580.72,1637366404361,true
1648220338,58072.68,0.001,58.07,1637366404361,true
1648220339,58072.68,0.071,4123.16,1637366404361,true
1648220340,58072.68,0.001,58.07,1637366404361,true
1648220341,58072.68,0.001,58.07,1637366404361,true
1648220342,58072.68,0.002,116.14,1637366404361,true
1648220343,58072.68,0.001,58.07,1637366404361,true
